epoch,d_loss,g_loss
1,1.3841580517830387,1.3758411037345086
2,1.2750135650557857,1.061371947488477
3,1.0783016426909355,1.7372997720395364
4,1.4424358202565102,0.7433307757300716
5,1.3570725879361552,0.8161529494870093
6,1.3536084813456382,0.8321626955463041
7,1.3886660318220816,0.7996227097126746
8,1.3658112422112496,0.8106023130878326
9,1.375639259815216,0.80803803955355
10,1.3721318283388693,0.8058714270591736
11,1.3707902585306475,0.8117046404269433
12,1.3657287455374194,0.8100736064295615
13,1.368490453689329,0.8183825775500266
14,1.363327314776759,0.8248440046464244
15,1.363911465291054,0.8241521120071411
16,1.3677513522486533,0.8203986498617357
17,1.3792557158777792,0.8146496020978496
18,1.3726715483973104,0.8088585311366666
19,1.3734152105546766,0.8436814806153697
20,1.3714044747814056,0.8207001657255234
21,1.3690638465266074,0.8226066193272991
22,1.369271412972481,0.8674428799460011
23,1.3650192483778922,0.8278517367378357
24,1.3617604163385206,0.8935616660502649
25,1.3619539295473406,0.9000120259100391
26,1.3540264502648385,0.8830546054147905
27,1.3509263377035818,0.9233804652767796
28,1.3222162935041613,1.1046326295022042
29,1.323177501078575,1.0263226734053703
30,1.3110798155107806,1.1555270639158064
31,1.2686486994066546,1.2484676232261043
32,1.1329652417090632,1.5363324140348742
33,1.1789778576743217,1.424960752648692
34,1.2536406122869062,1.4029685105046918
35,1.2135852729120562,1.4479738329687426
36,1.2755928625983577,1.4790418917132961
37,1.2629836797714233,1.2693232845875524
38,1.2371966646563621,1.2653646526798126
39,1.1913690740062344,1.3763754677868658
40,1.17544791583092,1.351267441626518
41,1.1831199892105595,1.295176702160989
42,1.3716322779655457,1.0596092727876478
43,1.349230383673022,1.0425754612491978
44,1.3244833927000723,1.0547442638104962
45,1.294906831556751,1.1765605249712545
46,1.2806093039051178,1.1766525237791
47,1.269211954647495,1.3338454010025147
48,1.296146966757313,1.2701280982263627
49,1.3001572739693426,1.339642164207274
50,1.3048541940027667,1.2169845488763624
51,1.2966360459404607,1.2920194393204105
52,1.2891112873631139,1.2897592946406333
53,1.3153729534918261,1.2803520425673454
54,1.3072898657091203,1.147266373038292
55,1.28259926842105,1.269091829176872
56,1.2955336993740452,1.2445748111894053
57,1.2838450689469614,1.2788639799241097
58,1.2921668483364968,1.2298388932981799
59,1.3082701813790105,1.3157788966932604
60,1.298779183818448,1.3966518856825367
61,1.3217438420941752,1.136729984514175
62,1.3013652447731263,1.3117734088051705
63,1.3068770381712145,1.3010888753398773
64,1.3193910766032435,1.220163167484345
65,1.2937855547474277,1.241343116567981
66,1.3152067911240362,1.2489261194582908
67,1.3388455510139465,1.1023749045787319
68,1.311825531144296,1.068094975525333
69,1.3175024255629508,1.197696800193479
70,1.3028075925765499,1.2359430597674461
71,1.2988580023088763,1.1624932798647112
72,1.3304904430143294,1.1391188790721278
73,1.3185279407808859,1.0395721725879177
74,1.3416644219429261,1.1268400415297477
75,1.306754594849002,1.1153563097600014
76,1.3244560880045737,1.1438850616255114
77,1.327306587849894,1.0619101356114111
78,1.3233052338323286,1.1704172030571969
79,1.3129559313097308,1.0227141322628144
80,1.3083050462507433,1.2152750645914385
81,1.307756914246467,1.195178642388313
82,1.339042596278652,1.1560790846424718
83,1.3219836354255676,1.0608025520078597
84,1.3136078811460925,1.13406850061109
85,1.3140431181077035,1.1105923008534215
86,1.3038360687994188,1.1168630642275656
87,1.309596363575228,1.1932455070557133
88,1.3093662185053672,1.1551382993498156
89,1.2988230451460807,1.2301320414389334
90,1.3047650129564348,1.1987672044384865
91,1.2798968572770395,1.2709486869073683
92,1.3043498243055036,1.2432427214037987
93,1.304054521745251,1.2820296229854706
94,1.2822966787122911,1.2741553725734833
95,1.307612056693723,1.287777110453575
96,1.2994328987213872,1.087108717810723
97,1.3067727473474318,1.1961955639623827
98,1.2958284654924948,1.1693945267508108
99,1.318093559434337,1.0362436151312244
100,1.316121466698185,1.2138921998200878
101,1.296967291062878,1.000301096708544
102,1.2685580455487775,1.1718080168770206
103,1.3056030081164451,1.1793378437719038
104,1.2785965050420454,1.1267964532298427
105,1.2952695123610958,1.1417443944561867
106,1.2861687252598424,1.2098632397190217
107,1.2385225257565897,1.1218377274851645
108,1.2643280096592442,1.4003643701153417
109,1.253440543528526,1.2710758909102409
110,1.218088500922726,1.3196035325527191
111,1.2375045832126372,1.4139071837548287
112,1.220453026794618,1.3829051429225552
113,1.2671890239561758,1.1303997876182679
114,1.2188770578753563,1.2906622473270661
115,1.2860903278473885,1.1944474106834782
116,1.2562970230656285,1.2672160181307024
117,1.2738452457612561,1.2953119931682464
118,1.2456510778396361,1.1506539064068948
119,1.2203001591467089,1.2425844707796652
120,1.1153607628037852,1.4747741164699677
121,1.2088692524740774,1.269181715865289
122,1.1426898702498405,1.419194552206224
123,1.0764906319879717,1.490586405800235
124,1.1175517449455876,1.5800746688919682
125,1.0864379742453176,1.4333705671371952
126,1.0864413678646088,1.4450735142154079
127,1.2200517740941816,1.2172579005841286
128,1.1908592216430172,1.2964117671212843
129,1.1686294078826904,1.3102416578800447
130,1.2296687316509984,1.1141001101463073
131,1.2764885646681632,1.1673066904467921
132,1.2035795046437172,1.300402021215808
133,1.242670439904736,1.1477838898858717
134,1.18760107313433,1.2846324914886105
135,1.2371781429936808,1.2756465711901266
136,1.1509944363947837,1.3198480807965802
137,1.2991077880705557,1.1256776908713002
138,1.2330982733157374,1.2663481043231102
139,1.2544499126172834,1.1730995601223362
140,1.1859007247032658,1.4000467715724823
141,1.1704757453933838,1.4104702261186415
142,1.2153663500662772,1.3337774238278788
143,1.179270077136255,1.447991193302216
144,1.257576410808871,1.214611683161028
145,1.3551076592937592,0.9113576503530625
146,1.1854379167479854,1.261293674668958
147,1.2843506355439462,1.055687605373321
148,1.243405028696983,1.1626140811750967
149,1.2769489807467307,1.0411529714061367
150,1.2580572068691254,1.1098251448523613
151,1.3424338063886088,0.9828899127821769
152,1.2633853631634866,1.217844367988648
153,1.3142112282014662,0.9687493207954592
154,1.2334824896627856,1.2438487506681872
155,1.1780893004709674,1.447890596043679
156,1.2460199113815063,1.2569507067241976
157,1.2534223804550786,1.1870336128819374
158,1.231860662660291,1.2760672477945205
159,1.1304010066293901,1.4700945221608686
160,1.1643526438743836,1.3888966787245967
161,1.2623322548404816,1.0835888703023233
162,1.190593239761168,1.3434628147271372
163,1.1845802953166347,1.4104359149932861
164,1.1505584457228262,1.3951830450565583
165,1.1645494545659711,1.4137449408731153
166,1.1180769733844265,1.4474365365120672
167,1.1786836741432067,1.5145170015673484
168,1.1134451387390014,1.6275773932856898
169,1.1212619994917223,1.5714628537816386
170,1.1729363126139487,1.2029854126514927
171,1.1767962257708273,1.4359999693209125
172,1.1517804226567667,1.3207688812286622
173,1.1557862037612545,1.3960929734091605
174,1.1894717110741524,1.2303510433243168
175,1.1978432286170222,1.149143793890553
176,1.1922738917412297,1.2054671510573356
177,1.2646592788157924,1.2131891337133223
178,1.2870358670911481,1.1031781310035336
